xEig eigsU eigsP
1.0 0.9980929778798363 0.9704348480449259
2.0 0.9997272735363644 0.9985091094705519
3.0 0.9999917229076025 0.9998623742238949
4.0 0.9999996174806285 0.9999804723344444
5.0 0.9999999805102305 0.9999966817901893
6.0 0.999999997073526 0.9999994076612445
7.0 0.9999999996728339 0.9999996967292326
8.0 0.9999999999543777 0.9999999241466381
9.0 0.9999999999869624 0.9999999702756666
10.0 0.9999999999948093 0.9999999906875018
11.0 0.9999999999986835 0.9999999974572668
12.0 0.9999999999994231 0.9999999988729412
13.0 0.9999999999997884 0.9999999995875437
14.0 0.9999999999998708 0.9999999998335735
15.0 0.9999999999999197 0.9999999999489633
16.0 0.9999999999999617 0.9999999999823903
17.0 0.9999999999999815 0.9999999999885169
18.0 0.9999999999999872 0.9999999999943263
19.0 0.9999999999999923 0.9999999999985305
20.0 0.9999999999999961 0.9999999999991573
21.0 0.9999999999999973 0.999999999999451
22.0 0.9999999999999984 0.9999999999996342
23.0 0.999999999999999 0.9999999999997925
24.0 0.9999999999999994 0.9999999999998916
25.0 0.9999999999999996 0.9999999999999533
26.0 0.9999999999999997 0.9999999999999664
27.0 0.9999999999999998 0.999999999999975
28.0 0.9999999999999998 0.9999999999999828
29.0 0.9999999999999998 0.9999999999999876
30.0 0.9999999999999998 0.9999999999999903
31.0 0.9999999999999998 0.999999999999993
32.0 0.9999999999999998 0.9999999999999952
33.0 0.9999999999999998 0.9999999999999962
34.0 0.9999999999999998 0.9999999999999971
35.0 0.9999999999999998 0.9999999999999977
36.0 0.9999999999999998 0.9999999999999981
37.0 0.9999999999999998 0.9999999999999984
38.0 0.9999999999999998 0.9999999999999988
39.0 0.9999999999999998 0.999999999999999
40.0 0.9999999999999998 0.9999999999999992
41.0 0.9999999999999998 0.9999999999999993
42.0 0.9999999999999998 0.9999999999999994
43.0 0.9999999999999998 0.9999999999999996
44.0 0.9999999999999998 0.9999999999999997
45.0 0.9999999999999998 0.9999999999999998
46.0 0.9999999999999998 0.9999999999999999
47.0 0.9999999999999998 0.9999999999999999
48.0 0.9999999999999998 0.9999999999999999
49.0 0.9999999999999998 0.9999999999999999
50.0 0.9999999999999998 0.9999999999999999
